2023-06-17 04:45:37,929|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2023-06-17 04:45:37,929|INFO|__main__.startLogging|mode:|mtg
2023-06-17 04:45:37,929|INFO|__main__.startLogging|tasks:|TA1537,TA1538,TA97,TA98
2023-06-17 04:45:37,929|INFO|__main__.startLogging|testsplit:|maxmin
2023-06-17 04:45:37,929|INFO|__main__.startLogging|output:|mtg_experiment_maxmin
2023-06-17 04:45:37,929|INFO|__main__.startLogging|device:|titanv
2023-06-17 04:45:37,929|INFO|__main__.startLogging|DONE
2023-06-17 04:45:37,929|INFO|mtg.runMTGExperiment|>>>> RUNNING MECHANISTIC TASK GROUPING EXPERIMENT
2023-06-17 04:45:40,155|INFO|mtg.runMTGExperiment|Device confirmed:|cuda:0
2023-06-17 04:45:41,475|INFO|nn.loadModellingDataset|Train descriptors loaded (features, instances):|1024|5062
2023-06-17 04:45:41,475|INFO|nn.loadModellingDataset|Train endpoints loaded (tasks, instances):|4|5062
2023-06-17 04:45:41,491|INFO|nn.loadModellingDataset|Val descriptors loaded (features, instances):|1024|2005
2023-06-17 04:45:41,491|INFO|nn.loadModellingDataset|Val endpoints loaded (tasks, instances):|4|2005
2023-06-17 04:45:51,187|INFO|nn.computeOptunaObjective|Trial 0 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 200}
2023-06-17 04:45:51,187|INFO|nn.computeOptunaObjective|Trial 0 balacc:|[0.6960773863454671, 0.7508095466538738, 0.6216495772620975, 0.6856799502135239]
2023-06-17 04:45:51,187|INFO|nn.computeOptunaObjective|Trial 0 rocauc:|[0.8359004423599637, 0.8885823938594387, 0.7146069436949092, 0.830835425652911]
2023-06-17 04:45:51,187|INFO|nn.computeOptunaObjective|Trial 0 timings:|9.7027407
2023-06-17 04:45:51,187|INFO|nn.computeOptunaObjective|Trial 0 objective:|0.6885541151187405
2023-06-17 04:45:56,171|INFO|nn.computeOptunaObjective|Trial 1 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 04:45:56,171|INFO|nn.computeOptunaObjective|Trial 1 balacc:|[0.685138304109151, 0.7341688654353562, 0.6084727468969239, 0.6999034314041074]
2023-06-17 04:45:56,171|INFO|nn.computeOptunaObjective|Trial 1 rocauc:|[0.8330624100623567, 0.888102662508995, 0.7093002338550098, 0.8385244318547609]
2023-06-17 04:45:56,171|INFO|nn.computeOptunaObjective|Trial 1 timings:|4.978720299999999
2023-06-17 04:45:56,171|INFO|nn.computeOptunaObjective|Trial 1 objective:|0.6819208369613846
2023-06-17 04:46:00,708|INFO|nn.computeOptunaObjective|Trial 2 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 04:46:00,708|INFO|nn.computeOptunaObjective|Trial 2 balacc:|[0.7046980760006396, 0.7595346605900695, 0.5937668645439828, 0.697800381982446]
2023-06-17 04:46:00,708|INFO|nn.computeOptunaObjective|Trial 2 rocauc:|[0.8343814954964558, 0.8851643079875271, 0.7110091743119266, 0.8320779415867294]
2023-06-17 04:46:00,708|INFO|nn.computeOptunaObjective|Trial 2 timings:|4.529175900000002
2023-06-17 04:46:00,708|INFO|nn.computeOptunaObjective|Trial 2 objective:|0.6889499957792845
2023-06-17 04:46:05,386|INFO|nn.computeOptunaObjective|Trial 3 params:|{'n_layers': 4, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 100}
2023-06-17 04:46:05,386|INFO|nn.computeOptunaObjective|Trial 3 balacc:|[0.5, 0.5, 0.5, 0.5]
2023-06-17 04:46:05,386|INFO|nn.computeOptunaObjective|Trial 3 rocauc:|[0.5874593615093535, 0.6675461741424802, 0.5172692930383161, 0.6250949591192945]
2023-06-17 04:46:05,386|INFO|nn.computeOptunaObjective|Trial 3 timings:|4.6783128000000005
2023-06-17 04:46:05,386|INFO|nn.computeOptunaObjective|Trial 3 objective:|0.5
2023-06-17 04:46:12,144|INFO|nn.computeOptunaObjective|Trial 4 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 150}
2023-06-17 04:46:12,144|INFO|nn.computeOptunaObjective|Trial 4 balacc:|[0.6615946277247775, 0.7608539218037899, 0.6069436949091563, 0.6794952681388013]
2023-06-17 04:46:12,144|INFO|nn.computeOptunaObjective|Trial 4 rocauc:|[0.8224964024942706, 0.8810266250899497, 0.7014750854470229, 0.8183179896564303]
2023-06-17 04:46:12,144|INFO|nn.computeOptunaObjective|Trial 4 timings:|6.764977600000002
2023-06-17 04:46:12,160|INFO|nn.computeOptunaObjective|Trial 4 objective:|0.6772218781441313
2023-06-17 04:46:21,073|INFO|nn.computeOptunaObjective|Trial 5 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 200}
