2023-06-17 02:31:56,954|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2023-06-17 02:31:56,954|INFO|__main__.startLogging|mode:|mtg
2023-06-17 02:31:56,954|INFO|__main__.startLogging|tasks:|TA102_S9
2023-06-17 02:31:56,954|INFO|__main__.startLogging|testsplit:|maxmin
2023-06-17 02:31:56,954|INFO|__main__.startLogging|output:|mtg_experiment_maxmin
2023-06-17 02:31:56,954|INFO|__main__.startLogging|device:|titanv
2023-06-17 02:31:56,954|INFO|__main__.startLogging|DONE
2023-06-17 02:31:56,954|INFO|mtg.runMTGExperiment|>>>> RUNNING MECHANISTIC TASK GROUPING EXPERIMENT
2023-06-17 02:31:57,188|INFO|mtg.runMTGExperiment|Device confirmed:|cuda:0
2023-06-17 02:31:58,425|INFO|nn.loadModellingDataset|Train descriptors loaded (features, instances):|1024|675
2023-06-17 02:31:58,425|INFO|nn.loadModellingDataset|Train endpoints loaded (tasks, instances):|1|675
2023-06-17 02:31:58,425|INFO|nn.loadModellingDataset|Val descriptors loaded (features, instances):|1024|194
2023-06-17 02:31:58,425|INFO|nn.loadModellingDataset|Val endpoints loaded (tasks, instances):|1|194
2023-06-17 02:32:00,363|INFO|nn.computeOptunaObjective|Trial 0 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 200}
2023-06-17 02:32:00,363|INFO|nn.computeOptunaObjective|Trial 0 balacc:|[0.5169133192389006]
2023-06-17 02:32:00,363|INFO|nn.computeOptunaObjective|Trial 0 rocauc:|[0.6947674418604651]
2023-06-17 02:32:00,363|INFO|nn.computeOptunaObjective|Trial 0 timings:|1.9365333999999992
2023-06-17 02:32:00,363|INFO|nn.computeOptunaObjective|Trial 0 objective:|0.5169133192389006
2023-06-17 02:32:01,084|INFO|nn.computeOptunaObjective|Trial 1 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 02:32:01,084|INFO|nn.computeOptunaObjective|Trial 1 balacc:|[0.5367336152219873]
2023-06-17 02:32:01,084|INFO|nn.computeOptunaObjective|Trial 1 rocauc:|[0.6884249471458774]
2023-06-17 02:32:01,084|INFO|nn.computeOptunaObjective|Trial 1 timings:|0.7258538000000003
2023-06-17 02:32:01,084|INFO|nn.computeOptunaObjective|Trial 1 objective:|0.5367336152219873
2023-06-17 02:32:01,768|INFO|nn.computeOptunaObjective|Trial 2 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 02:32:01,768|INFO|nn.computeOptunaObjective|Trial 2 balacc:|[0.5169133192389006]
2023-06-17 02:32:01,768|INFO|nn.computeOptunaObjective|Trial 2 rocauc:|[0.6995243128964059]
2023-06-17 02:32:01,768|INFO|nn.computeOptunaObjective|Trial 2 timings:|0.6808330999999992
2023-06-17 02:32:01,768|INFO|nn.computeOptunaObjective|Trial 2 objective:|0.5169133192389006
2023-06-17 02:32:02,431|INFO|nn.computeOptunaObjective|Trial 3 params:|{'n_layers': 4, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 100}
2023-06-17 02:32:02,431|INFO|nn.computeOptunaObjective|Trial 3 balacc:|[0.5]
2023-06-17 02:32:02,431|INFO|nn.computeOptunaObjective|Trial 3 rocauc:|[0.5779598308668076]
2023-06-17 02:32:02,431|INFO|nn.computeOptunaObjective|Trial 3 timings:|0.6571265000000004
2023-06-17 02:32:02,431|INFO|nn.computeOptunaObjective|Trial 3 objective:|0.5
2023-06-17 02:32:03,423|INFO|nn.computeOptunaObjective|Trial 4 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 150}
2023-06-17 02:32:03,423|INFO|nn.computeOptunaObjective|Trial 4 balacc:|[0.5396405919661733]
2023-06-17 02:32:03,423|INFO|nn.computeOptunaObjective|Trial 4 rocauc:|[0.6730972515856237]
2023-06-17 02:32:03,423|INFO|nn.computeOptunaObjective|Trial 4 timings:|0.9921299999999995
2023-06-17 02:32:03,423|INFO|nn.computeOptunaObjective|Trial 4 objective:|0.5396405919661733
2023-06-17 02:32:04,903|INFO|nn.computeOptunaObjective|Trial 5 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 200}
