2023-06-17 02:46:27,744|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2023-06-17 02:46:27,744|INFO|__main__.startLogging|mode:|mtg
2023-06-17 02:46:27,744|INFO|__main__.startLogging|tasks:|TA1537
2023-06-17 02:46:27,744|INFO|__main__.startLogging|testsplit:|maxmin
2023-06-17 02:46:27,744|INFO|__main__.startLogging|output:|mtg_experiment_maxmin
2023-06-17 02:46:27,744|INFO|__main__.startLogging|device:|titanv
2023-06-17 02:46:27,744|INFO|__main__.startLogging|DONE
2023-06-17 02:46:27,744|INFO|mtg.runMTGExperiment|>>>> RUNNING MECHANISTIC TASK GROUPING EXPERIMENT
2023-06-17 02:46:28,395|INFO|mtg.runMTGExperiment|Device confirmed:|cuda:0
2023-06-17 02:46:29,528|INFO|nn.loadModellingDataset|Train descriptors loaded (features, instances):|1024|2465
2023-06-17 02:46:29,528|INFO|nn.loadModellingDataset|Train endpoints loaded (tasks, instances):|1|2465
2023-06-17 02:46:29,528|INFO|nn.loadModellingDataset|Val descriptors loaded (features, instances):|1024|705
2023-06-17 02:46:29,528|INFO|nn.loadModellingDataset|Val endpoints loaded (tasks, instances):|1|705
2023-06-17 02:46:34,354|INFO|nn.computeOptunaObjective|Trial 0 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 200}
2023-06-17 02:46:34,370|INFO|nn.computeOptunaObjective|Trial 0 balacc:|[0.6646858178329691]
2023-06-17 02:46:34,370|INFO|nn.computeOptunaObjective|Trial 0 rocauc:|[0.8115972925438363]
2023-06-17 02:46:34,370|INFO|nn.computeOptunaObjective|Trial 0 timings:|4.8273063
2023-06-17 02:46:34,370|INFO|nn.computeOptunaObjective|Trial 0 objective:|0.6646858178329691
2023-06-17 02:46:36,650|INFO|nn.computeOptunaObjective|Trial 1 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 02:46:36,650|INFO|nn.computeOptunaObjective|Trial 1 balacc:|[0.6489900335767201]
2023-06-17 02:46:36,650|INFO|nn.computeOptunaObjective|Trial 1 rocauc:|[0.8238154879283697]
2023-06-17 02:46:36,650|INFO|nn.computeOptunaObjective|Trial 1 timings:|2.2877276999999996
2023-06-17 02:46:36,650|INFO|nn.computeOptunaObjective|Trial 1 objective:|0.6489900335767201
2023-06-17 02:46:38,790|INFO|nn.computeOptunaObjective|Trial 2 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 02:46:38,790|INFO|nn.computeOptunaObjective|Trial 2 balacc:|[0.6733065074881416]
2023-06-17 02:46:38,790|INFO|nn.computeOptunaObjective|Trial 2 rocauc:|[0.8202313062943025]
2023-06-17 02:46:38,790|INFO|nn.computeOptunaObjective|Trial 2 timings:|2.1396770000000007
2023-06-17 02:46:38,790|INFO|nn.computeOptunaObjective|Trial 2 objective:|0.6733065074881416
2023-06-17 02:46:40,963|INFO|nn.computeOptunaObjective|Trial 3 params:|{'n_layers': 4, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 100}
2023-06-17 02:46:40,963|INFO|nn.computeOptunaObjective|Trial 3 balacc:|[0.5]
2023-06-17 02:46:40,963|INFO|nn.computeOptunaObjective|Trial 3 rocauc:|[0.5813569258647338]
2023-06-17 02:46:40,963|INFO|nn.computeOptunaObjective|Trial 3 timings:|2.1677520999999995
2023-06-17 02:46:40,963|INFO|nn.computeOptunaObjective|Trial 3 objective:|0.5
2023-06-17 02:46:44,031|INFO|nn.computeOptunaObjective|Trial 4 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 150}
2023-06-17 02:46:44,031|INFO|nn.computeOptunaObjective|Trial 4 balacc:|[0.665458615360017]
2023-06-17 02:46:44,031|INFO|nn.computeOptunaObjective|Trial 4 rocauc:|[0.802750093268667]
2023-06-17 02:46:44,031|INFO|nn.computeOptunaObjective|Trial 4 timings:|3.0637184999999985
2023-06-17 02:46:44,031|INFO|nn.computeOptunaObjective|Trial 4 objective:|0.665458615360017
2023-06-17 02:46:48,201|INFO|nn.computeOptunaObjective|Trial 5 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 200}
2023-06-17 02:46:48,201|INFO|nn.computeOptunaObjective|Trial 5 balacc:|[0.5729494217342642]
2023-06-17 02:46:48,201|INFO|nn.computeOptunaObjective|Trial 5 rocauc:|[0.8064808399509674]
2023-06-17 02:46:48,201|INFO|nn.computeOptunaObjective|Trial 5 timings:|4.1698494
2023-06-17 02:46:48,201|INFO|nn.computeOptunaObjective|Trial 5 objective:|0.5729494217342642
2023-06-17 02:46:50,364|INFO|nn.computeOptunaObjective|Trial 6 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.0001, 'n_epochs': 100}
2023-06-17 02:46:50,364|INFO|nn.computeOptunaObjective|Trial 6 balacc:|[0.5]
2023-06-17 02:46:50,364|INFO|nn.computeOptunaObjective|Trial 6 rocauc:|[0.8237222192613122]
2023-06-17 02:46:50,364|INFO|nn.computeOptunaObjective|Trial 6 timings:|2.1576436999999977
2023-06-17 02:46:50,364|INFO|nn.computeOptunaObjective|Trial 6 objective:|0.5
2023-06-17 02:46:52,481|INFO|nn.computeOptunaObjective|Trial 7 params:|{'n_layers': 3, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 02:46:52,481|INFO|nn.computeOptunaObjective|Trial 7 balacc:|[0.665458615360017]
2023-06-17 02:46:52,481|INFO|nn.computeOptunaObjective|Trial 7 rocauc:|[0.8101849384426797]
2023-06-17 02:46:52,481|INFO|nn.computeOptunaObjective|Trial 7 timings:|2.1237986000000006
2023-06-17 02:46:52,481|INFO|nn.computeOptunaObjective|Trial 7 objective:|0.665458615360017
2023-06-17 02:46:54,605|INFO|nn.computeOptunaObjective|Trial 8 params:|{'n_layers': 3, 'architecture': 'linear', 'lr': 0.0001, 'n_epochs': 100}
2023-06-17 02:46:54,605|INFO|nn.computeOptunaObjective|Trial 8 balacc:|[0.5]
2023-06-17 02:46:54,605|INFO|nn.computeOptunaObjective|Trial 8 rocauc:|[0.7883334221606354]
2023-06-17 02:46:54,605|INFO|nn.computeOptunaObjective|Trial 8 timings:|2.119494000000003
2023-06-17 02:46:54,605|INFO|nn.computeOptunaObjective|Trial 8 objective:|0.5
2023-06-17 02:46:57,628|INFO|nn.computeOptunaObjective|Trial 9 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 150}
2023-06-17 02:46:57,628|INFO|nn.computeOptunaObjective|Trial 9 balacc:|[0.5337099610936418]
2023-06-17 02:46:57,628|INFO|nn.computeOptunaObjective|Trial 9 rocauc:|[0.7356499493684379]
2023-06-17 02:46:57,628|INFO|nn.computeOptunaObjective|Trial 9 timings:|3.0160747999999984
2023-06-17 02:46:57,628|INFO|nn.computeOptunaObjective|Trial 9 objective:|0.5337099610936418
2023-06-17 02:47:01,696|INFO|nn.computeOptunaObjective|Trial 10 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 200}
2023-06-17 02:47:01,696|INFO|nn.computeOptunaObjective|Trial 10 balacc:|[0.6482172360496722]
2023-06-17 02:47:01,696|INFO|nn.computeOptunaObjective|Trial 10 rocauc:|[0.7986729201087246]
2023-06-17 02:47:01,696|INFO|nn.computeOptunaObjective|Trial 10 timings:|4.063898200000004
2023-06-17 02:47:01,696|INFO|nn.computeOptunaObjective|Trial 10 objective:|0.6482172360496722
2023-06-17 02:47:04,946|INFO|nn.computeOptunaObjective|Trial 11 params:|{'n_layers': 4, 'architecture': 'linear', 'lr': 0.001, 'n_epochs': 150}
2023-06-17 02:47:04,946|INFO|nn.computeOptunaObjective|Trial 11 balacc:|[0.6740793050151894]
2023-06-17 02:47:04,946|INFO|nn.computeOptunaObjective|Trial 11 rocauc:|[0.8198982039119543]
2023-06-17 02:47:04,946|INFO|nn.computeOptunaObjective|Trial 11 timings:|3.2504400999999987
2023-06-17 02:47:04,946|INFO|nn.computeOptunaObjective|Trial 11 objective:|0.6740793050151894
2023-06-17 02:47:09,124|INFO|nn.computeOptunaObjective|Trial 12 params:|{'n_layers': 2, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 200}
2023-06-17 02:47:09,124|INFO|nn.computeOptunaObjective|Trial 12 balacc:|[0.665458615360017]
2023-06-17 02:47:09,124|INFO|nn.computeOptunaObjective|Trial 12 rocauc:|[0.807120396525076]
2023-06-17 02:47:09,124|INFO|nn.computeOptunaObjective|Trial 12 timings:|4.17024
2023-06-17 02:47:09,124|INFO|nn.computeOptunaObjective|Trial 12 objective:|0.665458615360017
2023-06-17 02:47:13,245|INFO|nn.computeOptunaObjective|Trial 13 params:|{'n_layers': 2, 'architecture': 'inner', 'lr': 0.001, 'n_epochs': 200}
2023-06-17 02:47:13,245|INFO|nn.computeOptunaObjective|Trial 13 balacc:|[0.665458615360017]
2023-06-17 02:47:13,245|INFO|nn.computeOptunaObjective|Trial 13 rocauc:|[0.8121835527367691]
2023-06-17 02:47:13,245|INFO|nn.computeOptunaObjective|Trial 13 timings:|4.122313999999996
2023-06-17 02:47:13,245|INFO|nn.computeOptunaObjective|Trial 13 objective:|0.665458615360017
2023-06-17 02:47:17,415|INFO|nn.computeOptunaObjective|Trial 14 params:|{'n_layers': 3, 'architecture': 'linear', 'lr': 0.0001, 'n_epochs': 200}
2023-06-17 02:47:17,415|INFO|nn.computeOptunaObjective|Trial 14 balacc:|[0.5737222192613122]
2023-06-17 02:47:17,415|INFO|nn.computeOptunaObjective|Trial 14 rocauc:|[0.806933859190961]
2023-06-17 02:47:17,415|INFO|nn.computeOptunaObjective|Trial 14 timings:|4.160067400000003
2023-06-17 02:47:17,415|INFO|nn.computeOptunaObjective|Trial 14 objective:|0.5737222192613122
2023-06-17 02:47:20,592|INFO|nn.computeOptunaObjective|Trial 15 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 150}
2023-06-17 02:47:20,592|INFO|nn.computeOptunaObjective|Trial 15 balacc:|[0.5337099610936418]
2023-06-17 02:47:20,592|INFO|nn.computeOptunaObjective|Trial 15 rocauc:|[0.8111975696850184]
2023-06-17 02:47:20,592|INFO|nn.computeOptunaObjective|Trial 15 timings:|3.1887107000000015
2023-06-17 02:47:20,592|INFO|nn.computeOptunaObjective|Trial 15 objective:|0.5337099610936418
2023-06-17 02:47:23,693|INFO|nn.computeOptunaObjective|Trial 16 params:|{'n_layers': 2, 'architecture': 'inner', 'lr': 0.0001, 'n_epochs': 150}
2023-06-17 02:47:23,693|INFO|nn.computeOptunaObjective|Trial 16 balacc:|[0.5337099610936418]
2023-06-17 02:47:23,693|INFO|nn.computeOptunaObjective|Trial 16 rocauc:|[0.7854554175771465]
2023-06-17 02:47:23,693|INFO|nn.computeOptunaObjective|Trial 16 timings:|3.0927099000000027
2023-06-17 02:47:23,693|INFO|nn.computeOptunaObjective|Trial 16 objective:|0.5337099610936418
2023-06-17 02:47:26,762|INFO|nn.computeOptunaObjective|Trial 17 params:|{'n_layers': 2, 'architecture': 'linear', 'lr': 0.001, 'n_epochs': 150}
2023-06-17 02:47:26,762|INFO|nn.computeOptunaObjective|Trial 17 balacc:|[0.622355167084155]
2023-06-17 02:47:26,762|INFO|nn.computeOptunaObjective|Trial 17 rocauc:|[0.813729147790865]
2023-06-17 02:47:26,762|INFO|nn.computeOptunaObjective|Trial 17 timings:|3.063192200000003
2023-06-17 02:47:26,762|INFO|nn.computeOptunaObjective|Trial 17 objective:|0.622355167084155
2023-06-17 02:47:31,055|INFO|nn.computeOptunaObjective|Trial 18 params:|{'n_layers': 4, 'architecture': 'linear', 'lr': 0.001, 'n_epochs': 200}
2023-06-17 02:47:31,055|INFO|nn.computeOptunaObjective|Trial 18 balacc:|[0.6646858178329691]
2023-06-17 02:47:31,055|INFO|nn.computeOptunaObjective|Trial 18 rocauc:|[0.8181394233331557]
2023-06-17 02:47:31,055|INFO|nn.computeOptunaObjective|Trial 18 timings:|4.2876142
2023-06-17 02:47:31,055|INFO|nn.computeOptunaObjective|Trial 18 objective:|0.6646858178329691
2023-06-17 02:47:33,219|INFO|nn.computeOptunaObjective|Trial 19 params:|{'n_layers': 3, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 02:47:33,219|INFO|nn.computeOptunaObjective|Trial 19 balacc:|[0.6395965463944998]
2023-06-17 02:47:33,219|INFO|nn.computeOptunaObjective|Trial 19 rocauc:|[0.8273064008953793]
2023-06-17 02:47:33,219|INFO|nn.computeOptunaObjective|Trial 19 timings:|2.165608000000006
2023-06-17 02:47:33,219|INFO|nn.computeOptunaObjective|Trial 19 objective:|0.6395965463944998
2023-06-17 02:47:37,442|INFO|nn.computeOptunaObjective|Trial 20 params:|{'n_layers': 3, 'architecture': 'top', 'lr': 0.0001, 'n_epochs': 200}
2023-06-17 02:47:37,442|INFO|nn.computeOptunaObjective|Trial 20 balacc:|[0.606659382827906]
2023-06-17 02:47:37,442|INFO|nn.computeOptunaObjective|Trial 20 rocauc:|[0.8186857112402067]
