2023-06-17 03:01:53,647|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2023-06-17 03:01:53,647|INFO|__main__.startLogging|mode:|mtg
2023-06-17 03:01:53,647|INFO|__main__.startLogging|tasks:|TA97
2023-06-17 03:01:53,647|INFO|__main__.startLogging|testsplit:|scaffold
2023-06-17 03:01:53,647|INFO|__main__.startLogging|output:|mtg_experiment_scaffold
2023-06-17 03:01:53,647|INFO|__main__.startLogging|device:|titanv
2023-06-17 03:01:53,647|INFO|__main__.startLogging|DONE
2023-06-17 03:01:53,647|INFO|mtg.runMTGExperiment|>>>> RUNNING MECHANISTIC TASK GROUPING EXPERIMENT
2023-06-17 03:01:54,015|INFO|mtg.runMTGExperiment|Device confirmed:|cuda:0
2023-06-17 03:01:55,274|INFO|nn.loadModellingDataset|Train descriptors loaded (features, instances):|1024|1292
2023-06-17 03:01:55,274|INFO|nn.loadModellingDataset|Train endpoints loaded (tasks, instances):|1|1292
2023-06-17 03:01:55,274|INFO|nn.loadModellingDataset|Val descriptors loaded (features, instances):|1024|361
2023-06-17 03:01:55,274|INFO|nn.loadModellingDataset|Val endpoints loaded (tasks, instances):|1|361
2023-06-17 03:01:57,975|INFO|nn.computeOptunaObjective|Trial 0 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 200}
2023-06-17 03:01:57,975|INFO|nn.computeOptunaObjective|Trial 0 balacc:|[0.5496492174851592]
2023-06-17 03:01:57,975|INFO|nn.computeOptunaObjective|Trial 0 rocauc:|[0.6939197697427595]
2023-06-17 03:01:57,975|INFO|nn.computeOptunaObjective|Trial 0 timings:|2.6905085
2023-06-17 03:01:57,975|INFO|nn.computeOptunaObjective|Trial 0 objective:|0.5496492174851592
2023-06-17 03:01:59,216|INFO|nn.computeOptunaObjective|Trial 1 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 03:01:59,216|INFO|nn.computeOptunaObjective|Trial 1 balacc:|[0.5790609821910415]
2023-06-17 03:01:59,216|INFO|nn.computeOptunaObjective|Trial 1 rocauc:|[0.7000359776938297]
2023-06-17 03:01:59,216|INFO|nn.computeOptunaObjective|Trial 1 timings:|1.2387794000000003
2023-06-17 03:01:59,216|INFO|nn.computeOptunaObjective|Trial 1 objective:|0.5790609821910415
2023-06-17 03:02:00,310|INFO|nn.computeOptunaObjective|Trial 2 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 03:02:00,310|INFO|nn.computeOptunaObjective|Trial 2 balacc:|[0.5790609821910415]
2023-06-17 03:02:00,310|INFO|nn.computeOptunaObjective|Trial 2 rocauc:|[0.6945493793847813]
2023-06-17 03:02:00,310|INFO|nn.computeOptunaObjective|Trial 2 timings:|1.0984075999999998
2023-06-17 03:02:00,310|INFO|nn.computeOptunaObjective|Trial 2 objective:|0.5790609821910415
2023-06-17 03:02:01,481|INFO|nn.computeOptunaObjective|Trial 3 params:|{'n_layers': 4, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 100}
2023-06-17 03:02:01,481|INFO|nn.computeOptunaObjective|Trial 3 balacc:|[0.5]
2023-06-17 03:02:01,481|INFO|nn.computeOptunaObjective|Trial 3 rocauc:|[0.5808598668825328]
2023-06-17 03:02:01,481|INFO|nn.computeOptunaObjective|Trial 3 timings:|1.1604096999999989
2023-06-17 03:02:01,481|INFO|nn.computeOptunaObjective|Trial 3 objective:|0.5
2023-06-17 03:02:03,075|INFO|nn.computeOptunaObjective|Trial 4 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 150}
2023-06-17 03:02:03,075|INFO|nn.computeOptunaObjective|Trial 4 balacc:|[0.5790609821910415]
2023-06-17 03:02:03,075|INFO|nn.computeOptunaObjective|Trial 4 rocauc:|[0.6831264615938119]
2023-06-17 03:02:03,075|INFO|nn.computeOptunaObjective|Trial 4 timings:|1.5898193000000003
2023-06-17 03:02:03,075|INFO|nn.computeOptunaObjective|Trial 4 objective:|0.5790609821910415
2023-06-17 03:02:05,277|INFO|nn.computeOptunaObjective|Trial 5 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 200}
2023-06-17 03:02:05,277|INFO|nn.computeOptunaObjective|Trial 5 balacc:|[0.5248246087425796]
