2023-06-17 02:46:30,910|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2023-06-17 02:46:30,910|INFO|__main__.startLogging|mode:|mtg
2023-06-17 02:46:30,910|INFO|__main__.startLogging|tasks:|TA1537
2023-06-17 02:46:30,910|INFO|__main__.startLogging|testsplit:|scaffold
2023-06-17 02:46:30,910|INFO|__main__.startLogging|output:|mtg_experiment_scaffold
2023-06-17 02:46:30,910|INFO|__main__.startLogging|device:|titanv
2023-06-17 02:46:30,910|INFO|__main__.startLogging|DONE
2023-06-17 02:46:30,910|INFO|mtg.runMTGExperiment|>>>> RUNNING MECHANISTIC TASK GROUPING EXPERIMENT
2023-06-17 02:46:31,535|INFO|mtg.runMTGExperiment|Device confirmed:|cuda:0
2023-06-17 02:46:32,784|INFO|nn.loadModellingDataset|Train descriptors loaded (features, instances):|1024|2458
2023-06-17 02:46:32,784|INFO|nn.loadModellingDataset|Train endpoints loaded (tasks, instances):|1|2458
2023-06-17 02:46:32,800|INFO|nn.loadModellingDataset|Val descriptors loaded (features, instances):|1024|705
2023-06-17 02:46:32,800|INFO|nn.loadModellingDataset|Val endpoints loaded (tasks, instances):|1|705
2023-06-17 02:46:37,572|INFO|nn.computeOptunaObjective|Trial 0 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 200}
2023-06-17 02:46:37,572|INFO|nn.computeOptunaObjective|Trial 0 balacc:|[0.5729494217342642]
2023-06-17 02:46:37,572|INFO|nn.computeOptunaObjective|Trial 0 rocauc:|[0.7386345467142781]
2023-06-17 02:46:37,572|INFO|nn.computeOptunaObjective|Trial 0 timings:|4.7844578
2023-06-17 02:46:37,572|INFO|nn.computeOptunaObjective|Trial 0 objective:|0.5729494217342642
2023-06-17 02:46:39,852|INFO|nn.computeOptunaObjective|Trial 1 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 02:46:39,852|INFO|nn.computeOptunaObjective|Trial 1 balacc:|[0.5744950167883601]
2023-06-17 02:46:39,852|INFO|nn.computeOptunaObjective|Trial 1 rocauc:|[0.7359297553696103]
2023-06-17 02:46:39,852|INFO|nn.computeOptunaObjective|Trial 1 timings:|2.2650322999999997
2023-06-17 02:46:39,852|INFO|nn.computeOptunaObjective|Trial 1 objective:|0.5744950167883601
2023-06-17 02:46:41,938|INFO|nn.computeOptunaObjective|Trial 2 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 100}
2023-06-17 02:46:41,938|INFO|nn.computeOptunaObjective|Trial 2 balacc:|[0.5995842882268294]
2023-06-17 02:46:41,938|INFO|nn.computeOptunaObjective|Trial 2 rocauc:|[0.7383547407131055]
2023-06-17 02:46:41,938|INFO|nn.computeOptunaObjective|Trial 2 timings:|2.0956868999999987
2023-06-17 02:46:41,938|INFO|nn.computeOptunaObjective|Trial 2 objective:|0.5995842882268294
2023-06-17 02:46:44,109|INFO|nn.computeOptunaObjective|Trial 3 params:|{'n_layers': 4, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 100}
2023-06-17 02:46:44,109|INFO|nn.computeOptunaObjective|Trial 3 balacc:|[0.5]
2023-06-17 02:46:44,109|INFO|nn.computeOptunaObjective|Trial 3 rocauc:|[0.5560811170921495]
2023-06-17 02:46:44,109|INFO|nn.computeOptunaObjective|Trial 3 timings:|2.1586771999999996
2023-06-17 02:46:44,109|INFO|nn.computeOptunaObjective|Trial 3 objective:|0.5
2023-06-17 02:46:47,170|INFO|nn.computeOptunaObjective|Trial 4 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 150}
2023-06-17 02:46:47,170|INFO|nn.computeOptunaObjective|Trial 4 balacc:|[0.5823429089164847]
2023-06-17 02:46:47,170|INFO|nn.computeOptunaObjective|Trial 4 rocauc:|[0.7298273197249907]
2023-06-17 02:46:47,170|INFO|nn.computeOptunaObjective|Trial 4 timings:|3.0661035000000005
2023-06-17 02:46:47,170|INFO|nn.computeOptunaObjective|Trial 4 objective:|0.5823429089164847
2023-06-17 02:46:51,434|INFO|nn.computeOptunaObjective|Trial 5 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 200}
2023-06-17 02:46:51,434|INFO|nn.computeOptunaObjective|Trial 5 balacc:|[0.5329371635665938]
2023-06-17 02:46:51,434|INFO|nn.computeOptunaObjective|Trial 5 rocauc:|[0.7265229440920962]
2023-06-17 02:46:51,434|INFO|nn.computeOptunaObjective|Trial 5 timings:|4.2601288
2023-06-17 02:46:51,434|INFO|nn.computeOptunaObjective|Trial 5 objective:|0.5329371635665938
