2023-06-17 04:42:55,803|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2023-06-17 04:42:55,803|INFO|__main__.startLogging|mode:|mtg
2023-06-17 04:42:55,803|INFO|__main__.startLogging|tasks:|TA1537,TA1538,TA97,TA98
2023-06-17 04:42:55,803|INFO|__main__.startLogging|testsplit:|scaffold
2023-06-17 04:42:55,803|INFO|__main__.startLogging|output:|mtg_experiment_scaffold
2023-06-17 04:42:55,803|INFO|__main__.startLogging|device:|titanv
2023-06-17 04:42:55,803|INFO|__main__.startLogging|DONE
2023-06-17 04:42:55,803|INFO|mtg.runMTGExperiment|>>>> RUNNING MECHANISTIC TASK GROUPING EXPERIMENT
2023-06-17 04:42:57,970|INFO|mtg.runMTGExperiment|Device confirmed:|cuda:0
2023-06-17 04:42:59,226|INFO|nn.loadModellingDataset|Train descriptors loaded (features, instances):|1024|4942
2023-06-17 04:42:59,226|INFO|nn.loadModellingDataset|Train endpoints loaded (tasks, instances):|4|4942
2023-06-17 04:42:59,226|INFO|nn.loadModellingDataset|Val descriptors loaded (features, instances):|1024|1813
2023-06-17 04:42:59,226|INFO|nn.loadModellingDataset|Val endpoints loaded (tasks, instances):|4|1813
2023-06-17 04:43:08,982|INFO|nn.computeOptunaObjective|Trial 0 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 200}
2023-06-17 04:43:08,982|INFO|nn.computeOptunaObjective|Trial 0 balacc:|[0.622355167084155, 0.7294015351403214, 0.634826407627271, 0.6661366123736561]
2023-06-17 04:43:08,982|INFO|nn.computeOptunaObjective|Trial 0 rocauc:|[0.7962346106699354, 0.8550611657471816, 0.7616477783774059, 0.7910620399579389]
2023-06-17 04:43:08,982|INFO|nn.computeOptunaObjective|Trial 0 timings:|9.745168500000002
2023-06-17 04:43:08,982|INFO|nn.computeOptunaObjective|Trial 0 objective:|0.6631799305563508
2023-06-17 04:43:13,899|INFO|nn.computeOptunaObjective|Trial 1 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
