2022-12-16 03:39:09,115|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2022-12-16 03:39:09,116|INFO|__main__.startLogging|mode:|mtg
2022-12-16 03:39:09,116|INFO|__main__.startLogging|tasks:|TA1537,TA1538,TA97,TA98
2022-12-16 03:39:09,116|INFO|__main__.startLogging|output:|mtg_experiment
2022-12-16 03:39:09,116|INFO|__main__.startLogging|device:|titanv
2022-12-16 03:39:09,116|INFO|__main__.startLogging|DONE
2022-12-16 03:39:09,116|INFO|mtg.runMTGExperiment|>>>> RUNNING MECHANISTIC TASK GROUPING EXPERIMENT
2022-12-16 03:39:09,116|INFO|data.generateModellingDatasets|>>>> GENERATING MODELLING DATASETS
2022-12-16 03:39:09,124|INFO|data.generateModellingDatasets|Task list parsed:|['TA1537', 'TA1538', 'TA97', 'TA98']
2022-12-16 03:39:10,849|INFO|data.generateModellingDatasets|Modelling train dataset generated: (rows, columns)|5156|1029
2022-12-16 03:39:10,907|INFO|data.generateModellingDatasets|Modelling val dataset generated: (rows, columns)|1865|1029
2022-12-16 03:39:11,077|INFO|data.generateModellingDatasets|Modelling trainval dataset generated: (rows, columns)|6181|1029
2022-12-16 03:39:11,103|INFO|data.generateModellingDatasets|Modelling test dataset generated: (rows, columns)|928|1029
2022-12-16 03:39:11,103|INFO|data.generateModellingDatasets|Modelling datasets generation timing:|1.9788534999999996
2022-12-16 03:39:11,104|INFO|data.generateModellingDatasets|DONE
2022-12-16 03:39:11,110|INFO|mtg.runMTGExperiment|Device confirmed:|cuda:0
2022-12-16 03:39:12,227|INFO|nn.loadModellingDataset|Train descriptors loaded (features, instances):|1024|5156
2022-12-16 03:39:12,227|INFO|nn.loadModellingDataset|Train endpoints loaded (tasks, instances):|4|5156
2022-12-16 03:39:12,236|INFO|nn.loadModellingDataset|Val descriptors loaded (features, instances):|1024|1865
2022-12-16 03:39:12,236|INFO|nn.loadModellingDataset|Val endpoints loaded (tasks, instances):|4|1865
2022-12-16 03:39:21,009|INFO|nn.computeOptunaObjective|Trial 0 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 200}
2022-12-16 03:39:21,009|INFO|nn.computeOptunaObjective|Trial 0 balacc:|[0.6332942493204712, 0.6712640921084193, 0.6038855909336212, 0.654016180604734]
2022-12-16 03:39:21,009|INFO|nn.computeOptunaObjective|Trial 0 rocauc:|[0.7781937856419548, 0.8310146318061885, 0.721622593991725, 0.7785424579926608]
2022-12-16 03:39:21,009|INFO|nn.computeOptunaObjective|Trial 0 timings:|8.7653593
2022-12-16 03:39:21,010|INFO|nn.computeOptunaObjective|Trial 0 objective:|0.6406150282418115
2022-12-16 03:39:25,441|INFO|nn.computeOptunaObjective|Trial 1 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2022-12-16 03:39:25,441|INFO|nn.computeOptunaObjective|Trial 1 balacc:|[0.6286574641581837, 0.6673063084672584, 0.6100017988846915, 0.6484194939805575]
2022-12-16 03:39:25,441|INFO|nn.computeOptunaObjective|Trial 1 rocauc:|[0.8010446090710441, 0.8489445910290238, 0.7021946393236194, 0.7865919869525098]
2022-12-16 03:39:25,441|INFO|nn.computeOptunaObjective|Trial 1 timings:|4.4403307000000005
2022-12-16 03:39:25,441|INFO|nn.computeOptunaObjective|Trial 1 objective:|0.6385962663726727
2022-12-16 03:39:29,633|INFO|nn.computeOptunaObjective|Trial 2 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 100}
2022-12-16 03:39:29,633|INFO|nn.computeOptunaObjective|Trial 2 balacc:|[0.638050951340404, 0.6646677860398177, 0.5937668645439828, 0.6550054722204339]
2022-12-16 03:39:29,633|INFO|nn.computeOptunaObjective|Trial 2 rocauc:|[0.791584501412354, 0.8380307028064284, 0.7169454937938478, 0.7847636215369428]
2022-12-16 03:39:29,633|INFO|nn.computeOptunaObjective|Trial 2 timings:|4.180251800000001
