2022-12-16 01:16:42,569|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2022-12-16 01:16:42,569|INFO|__main__.startLogging|mode:|mtg
2022-12-16 01:16:42,569|INFO|__main__.startLogging|tasks:|TA100
2022-12-16 01:16:42,569|INFO|__main__.startLogging|output:|mtg_experiment
2022-12-16 01:16:42,569|INFO|__main__.startLogging|device:|titanv
2022-12-16 01:16:42,569|INFO|__main__.startLogging|DONE
2022-12-16 01:16:42,570|INFO|mtg.runMTGExperiment|>>>> RUNNING MECHANISTIC TASK GROUPING EXPERIMENT
2022-12-16 01:16:42,570|INFO|data.generateModellingDatasets|>>>> GENERATING MODELLING DATASETS
2022-12-16 01:16:42,570|INFO|data.generateModellingDatasets|Task list parsed:|['TA100']
2022-12-16 01:16:43,399|INFO|data.generateModellingDatasets|Modelling train dataset generated: (rows, columns)|4593|1026
2022-12-16 01:16:43,426|INFO|data.generateModellingDatasets|Modelling val dataset generated: (rows, columns)|1276|1026
2022-12-16 01:16:43,576|INFO|data.generateModellingDatasets|Modelling trainval dataset generated: (rows, columns)|5869|1026
2022-12-16 01:16:43,591|INFO|data.generateModellingDatasets|Modelling test dataset generated: (rows, columns)|511|1026
2022-12-16 01:16:43,592|INFO|data.generateModellingDatasets|Modelling datasets generation timing:|1.0224129
2022-12-16 01:16:43,592|INFO|data.generateModellingDatasets|DONE
2022-12-16 01:16:43,596|INFO|mtg.runMTGExperiment|Device confirmed:|cuda:0
2022-12-16 01:16:44,740|INFO|nn.loadModellingDataset|Train descriptors loaded (features, instances):|1024|4593
2022-12-16 01:16:44,740|INFO|nn.loadModellingDataset|Train endpoints loaded (tasks, instances):|1|4593
2022-12-16 01:16:44,749|INFO|nn.loadModellingDataset|Val descriptors loaded (features, instances):|1024|1276
2022-12-16 01:16:44,749|INFO|nn.loadModellingDataset|Val endpoints loaded (tasks, instances):|1|1276
2022-12-16 01:16:52,339|INFO|nn.computeOptunaObjective|Trial 0 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 200}
2022-12-16 01:16:52,339|INFO|nn.computeOptunaObjective|Trial 0 balacc:|[0.6423724816387035]
2022-12-16 01:16:52,339|INFO|nn.computeOptunaObjective|Trial 0 rocauc:|[0.7372262650764774]
2022-12-16 01:16:52,339|INFO|nn.computeOptunaObjective|Trial 0 timings:|7.5882767
2022-12-16 01:16:52,339|INFO|nn.computeOptunaObjective|Trial 0 objective:|0.6423724816387035
2022-12-16 01:16:56,114|INFO|nn.computeOptunaObjective|Trial 1 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2022-12-16 01:16:56,114|INFO|nn.computeOptunaObjective|Trial 1 balacc:|[0.6355737483997035]
2022-12-16 01:16:56,114|INFO|nn.computeOptunaObjective|Trial 1 rocauc:|[0.747358668553332]
2022-12-16 01:16:56,114|INFO|nn.computeOptunaObjective|Trial 1 timings:|3.7736677000000007
2022-12-16 01:16:56,114|INFO|nn.computeOptunaObjective|Trial 1 objective:|0.6355737483997035
2022-12-16 01:16:59,651|INFO|nn.computeOptunaObjective|Trial 2 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 100}
2022-12-16 01:16:59,651|INFO|nn.computeOptunaObjective|Trial 2 balacc:|[0.6373054376389731]
2022-12-16 01:16:59,651|INFO|nn.computeOptunaObjective|Trial 2 rocauc:|[0.7361464860858433]
2022-12-16 01:16:59,651|INFO|nn.computeOptunaObjective|Trial 2 timings:|3.5360619999999976
2022-12-16 01:16:59,652|INFO|nn.computeOptunaObjective|Trial 2 objective:|0.6373054376389731
2022-12-16 01:17:03,124|INFO|nn.computeOptunaObjective|Trial 3 params:|{'n_layers': 4, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 100}
2022-12-16 01:17:03,124|INFO|nn.computeOptunaObjective|Trial 3 balacc:|[0.5049019607843137]
2022-12-16 01:17:03,124|INFO|nn.computeOptunaObjective|Trial 3 rocauc:|[0.6580301192642005]
2022-12-16 01:17:03,124|INFO|nn.computeOptunaObjective|Trial 3 timings:|3.4706094000000007
2022-12-16 01:17:03,124|INFO|nn.computeOptunaObjective|Trial 3 objective:|0.5049019607843137
2022-12-16 01:17:08,199|INFO|nn.computeOptunaObjective|Trial 4 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 150}
2022-12-16 01:17:08,200|INFO|nn.computeOptunaObjective|Trial 4 balacc:|[0.6371302472879186]
2022-12-16 01:17:08,200|INFO|nn.computeOptunaObjective|Trial 4 rocauc:|[0.7316942928374099]
2022-12-16 01:17:08,200|INFO|nn.computeOptunaObjective|Trial 4 timings:|5.0737007
2022-12-16 01:17:08,200|INFO|nn.computeOptunaObjective|Trial 4 objective:|0.6371302472879186
2022-12-16 01:17:15,226|INFO|nn.computeOptunaObjective|Trial 5 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 200}
2022-12-16 01:17:15,226|INFO|nn.computeOptunaObjective|Trial 5 balacc:|[0.6325584529344384]
2022-12-16 01:17:15,226|INFO|nn.computeOptunaObjective|Trial 5 rocauc:|[0.7466393774004446]
2022-12-16 01:17:15,226|INFO|nn.computeOptunaObjective|Trial 5 timings:|7.025075199999996
2022-12-16 01:17:15,226|INFO|nn.computeOptunaObjective|Trial 5 objective:|0.6325584529344384
2022-12-16 01:17:18,978|INFO|nn.computeOptunaObjective|Trial 6 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.0001, 'n_epochs': 100}
2022-12-16 01:17:18,978|INFO|nn.computeOptunaObjective|Trial 6 balacc:|[0.5952193248433394]
2022-12-16 01:17:18,978|INFO|nn.computeOptunaObjective|Trial 6 rocauc:|[0.7523431709453541]
2022-12-16 01:17:18,978|INFO|nn.computeOptunaObjective|Trial 6 timings:|3.7495375999999965
2022-12-16 01:17:18,978|INFO|nn.computeOptunaObjective|Trial 6 objective:|0.5952193248433394
2022-12-16 01:17:22,373|INFO|nn.computeOptunaObjective|Trial 7 params:|{'n_layers': 3, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 100}
2022-12-16 01:17:22,373|INFO|nn.computeOptunaObjective|Trial 7 balacc:|[0.6453877771039688]
2022-12-16 01:17:22,373|INFO|nn.computeOptunaObjective|Trial 7 rocauc:|[0.7319705545448421]
2022-12-16 01:17:22,373|INFO|nn.computeOptunaObjective|Trial 7 timings:|3.393636900000004
2022-12-16 01:17:22,373|INFO|nn.computeOptunaObjective|Trial 7 objective:|0.6453877771039688
2022-12-16 01:17:25,889|INFO|nn.computeOptunaObjective|Trial 8 params:|{'n_layers': 3, 'architecture': 'linear', 'lr': 0.0001, 'n_epochs': 100}
2022-12-16 01:17:25,889|INFO|nn.computeOptunaObjective|Trial 8 balacc:|[0.54524627720504]
2022-12-16 01:17:25,889|INFO|nn.computeOptunaObjective|Trial 8 rocauc:|[0.7266912606967185]
2022-12-16 01:17:25,889|INFO|nn.computeOptunaObjective|Trial 8 timings:|3.514608800000005
2022-12-16 01:17:25,890|INFO|nn.computeOptunaObjective|Trial 8 objective:|0.54524627720504
2022-12-16 01:17:30,995|INFO|nn.computeOptunaObjective|Trial 9 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 150}
2022-12-16 01:17:30,995|INFO|nn.computeOptunaObjective|Trial 9 balacc:|[0.5808638231925072]
2022-12-16 01:17:30,995|INFO|nn.computeOptunaObjective|Trial 9 rocauc:|[0.7017805403948522]
2022-12-16 01:17:30,995|INFO|nn.computeOptunaObjective|Trial 9 timings:|5.102908900000003
2022-12-16 01:17:30,995|INFO|nn.computeOptunaObjective|Trial 9 objective:|0.5808638231925072
2022-12-16 01:17:37,780|INFO|nn.computeOptunaObjective|Trial 10 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 200}
2022-12-16 01:17:37,780|INFO|nn.computeOptunaObjective|Trial 10 balacc:|[0.6388518293915504]
2022-12-16 01:17:37,781|INFO|nn.computeOptunaObjective|Trial 10 rocauc:|[0.7335219998652381]
2022-12-16 01:17:37,781|INFO|nn.computeOptunaObjective|Trial 10 timings:|6.783829300000001
2022-12-16 01:17:37,781|INFO|nn.computeOptunaObjective|Trial 10 objective:|0.6388518293915504
2022-12-16 01:17:43,573|INFO|nn.computeOptunaObjective|Trial 11 params:|{'n_layers': 4, 'architecture': 'linear', 'lr': 0.001, 'n_epochs': 150}
2022-12-16 01:17:43,573|INFO|nn.computeOptunaObjective|Trial 11 balacc:|[0.6368674617613368]
2022-12-16 01:17:43,573|INFO|nn.computeOptunaObjective|Trial 11 rocauc:|[0.7404116973249781]
2022-12-16 01:17:43,573|INFO|nn.computeOptunaObjective|Trial 11 timings:|5.790701900000002
2022-12-16 01:17:43,573|INFO|nn.computeOptunaObjective|Trial 11 objective:|0.6368674617613368
2022-12-16 01:17:50,837|INFO|nn.computeOptunaObjective|Trial 12 params:|{'n_layers': 2, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 200}
2022-12-16 01:17:50,837|INFO|nn.computeOptunaObjective|Trial 12 balacc:|[0.6338622734317094]
2022-12-16 01:17:50,837|INFO|nn.computeOptunaObjective|Trial 12 rocauc:|[0.7353480223704603]
2022-12-16 01:17:50,837|INFO|nn.computeOptunaObjective|Trial 12 timings:|7.2617063
2022-12-16 01:17:50,837|INFO|nn.computeOptunaObjective|Trial 12 objective:|0.6338622734317094
2022-12-16 01:17:58,064|INFO|nn.computeOptunaObjective|Trial 13 params:|{'n_layers': 2, 'architecture': 'inner', 'lr': 0.001, 'n_epochs': 200}
2022-12-16 01:17:58,064|INFO|nn.computeOptunaObjective|Trial 13 balacc:|[0.6380735799474428]
2022-12-16 01:17:58,064|INFO|nn.computeOptunaObjective|Trial 13 rocauc:|[0.7376844552253891]
2022-12-16 01:17:58,064|INFO|nn.computeOptunaObjective|Trial 13 timings:|7.223681599999992
2022-12-16 01:17:58,064|INFO|nn.computeOptunaObjective|Trial 13 objective:|0.6380735799474428
2022-12-16 01:18:05,512|INFO|nn.computeOptunaObjective|Trial 14 params:|{'n_layers': 3, 'architecture': 'linear', 'lr': 0.0001, 'n_epochs': 200}
2022-12-16 01:18:05,512|INFO|nn.computeOptunaObjective|Trial 14 balacc:|[0.6261101003975473]
2022-12-16 01:18:05,512|INFO|nn.computeOptunaObjective|Trial 14 rocauc:|[0.7454130449430632]
2022-12-16 01:18:05,512|INFO|nn.computeOptunaObjective|Trial 14 timings:|7.446145399999992
2022-12-16 01:18:05,512|INFO|nn.computeOptunaObjective|Trial 14 objective:|0.6261101003975473
2022-12-16 01:18:11,113|INFO|nn.computeOptunaObjective|Trial 15 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 150}
2022-12-16 01:18:11,113|INFO|nn.computeOptunaObjective|Trial 15 balacc:|[0.6276564921501246]
2022-12-16 01:18:11,113|INFO|nn.computeOptunaObjective|Trial 15 rocauc:|[0.7466225321743818]
2022-12-16 01:18:11,113|INFO|nn.computeOptunaObjective|Trial 15 timings:|5.599210200000002
2022-12-16 01:18:11,113|INFO|nn.computeOptunaObjective|Trial 15 objective:|0.6276564921501246
2022-12-16 01:18:16,559|INFO|nn.computeOptunaObjective|Trial 16 params:|{'n_layers': 2, 'architecture': 'inner', 'lr': 0.0001, 'n_epochs': 150}
2022-12-16 01:18:16,559|INFO|nn.computeOptunaObjective|Trial 16 balacc:|[0.6117444916110775]
2022-12-16 01:18:16,559|INFO|nn.computeOptunaObjective|Trial 16 rocauc:|[0.7287834377737349]
2022-12-16 01:18:16,559|INFO|nn.computeOptunaObjective|Trial 16 timings:|5.442303900000013
2022-12-16 01:18:16,559|INFO|nn.computeOptunaObjective|Trial 16 objective:|0.6117444916110775
2022-12-16 01:18:21,987|INFO|nn.computeOptunaObjective|Trial 17 params:|{'n_layers': 2, 'architecture': 'linear', 'lr': 0.001, 'n_epochs': 150}
2022-12-16 01:18:21,987|INFO|nn.computeOptunaObjective|Trial 17 balacc:|[0.641944612896705]
2022-12-16 01:18:21,987|INFO|nn.computeOptunaObjective|Trial 17 rocauc:|[0.73713866990095]
2022-12-16 01:18:21,987|INFO|nn.computeOptunaObjective|Trial 17 timings:|5.426077199999995
2022-12-16 01:18:21,987|INFO|nn.computeOptunaObjective|Trial 17 objective:|0.641944612896705
2022-12-16 01:18:29,676|INFO|nn.computeOptunaObjective|Trial 18 params:|{'n_layers': 4, 'architecture': 'linear', 'lr': 0.001, 'n_epochs': 200}
2022-12-16 01:18:29,676|INFO|nn.computeOptunaObjective|Trial 18 balacc:|[0.6355838555353412]
2022-12-16 01:18:29,676|INFO|nn.computeOptunaObjective|Trial 18 rocauc:|[0.7381561215551513]
2022-12-16 01:18:29,676|INFO|nn.computeOptunaObjective|Trial 18 timings:|7.68582450000001
2022-12-16 01:18:29,676|INFO|nn.computeOptunaObjective|Trial 18 objective:|0.6355838555353412
2022-12-16 01:18:33,529|INFO|nn.computeOptunaObjective|Trial 19 params:|{'n_layers': 3, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2022-12-16 01:18:33,529|INFO|nn.computeOptunaObjective|Trial 19 balacc:|[0.6362745098039215]
2022-12-16 01:18:33,529|INFO|nn.computeOptunaObjective|Trial 19 rocauc:|[0.7385452462772051]
2022-12-16 01:18:33,529|INFO|nn.computeOptunaObjective|Trial 19 timings:|3.8509750000000054
2022-12-16 01:18:33,529|INFO|nn.computeOptunaObjective|Trial 19 objective:|0.6362745098039215
2022-12-16 01:18:41,061|INFO|nn.computeOptunaObjective|Trial 20 params:|{'n_layers': 3, 'architecture': 'top', 'lr': 0.0001, 'n_epochs': 200}
2022-12-16 01:18:41,061|INFO|nn.computeOptunaObjective|Trial 20 balacc:|[0.6309244660063338]
2022-12-16 01:18:41,061|INFO|nn.computeOptunaObjective|Trial 20 rocauc:|[0.7471278889562698]
2022-12-16 01:18:41,061|INFO|nn.computeOptunaObjective|Trial 20 timings:|7.528575000000004
2022-12-16 01:18:41,061|INFO|nn.computeOptunaObjective|Trial 20 objective:|0.6309244660063338
2022-12-16 01:18:46,685|INFO|nn.computeOptunaObjective|Trial 21 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 150}
2022-12-16 01:18:46,685|INFO|nn.computeOptunaObjective|Trial 21 balacc:|[0.6403982211441277]
2022-12-16 01:18:46,685|INFO|nn.computeOptunaObjective|Trial 21 rocauc:|[0.7331396132336095]
2022-12-16 01:18:46,685|INFO|nn.computeOptunaObjective|Trial 21 timings:|5.622367299999993
2022-12-16 01:18:46,685|INFO|nn.computeOptunaObjective|Trial 21 objective:|0.6403982211441277
2022-12-16 01:18:50,526|INFO|nn.computeOptunaObjective|Trial 22 params:|{'n_layers': 4, 'architecture': 'inner', 'lr': 0.001, 'n_epochs': 100}
2022-12-16 01:18:50,526|INFO|nn.computeOptunaObjective|Trial 22 balacc:|[0.6466814904656021]
2022-12-16 01:18:50,526|INFO|nn.computeOptunaObjective|Trial 22 rocauc:|[0.7374957886934843]
2022-12-16 01:18:50,526|INFO|nn.computeOptunaObjective|Trial 22 timings:|3.838171900000006
2022-12-16 01:18:50,527|INFO|nn.computeOptunaObjective|Trial 22 objective:|0.6466814904656021
2022-12-16 01:18:56,200|INFO|nn.computeOptunaObjective|Trial 23 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 150}
