2022-12-16 02:21:11,147|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2022-12-16 02:21:11,147|INFO|__main__.startLogging|mode:|mtg
2022-12-16 02:21:11,147|INFO|__main__.startLogging|tasks:|TA100,TA100_S9,TA102,TA102_S9,TA104,TA104_S9,TA1535,TA1535_S9,TA1537,TA1537_S9,TA1538,TA1538_S9,TA97,TA97_S9,TA98,TA98_S9
2022-12-16 02:21:11,147|INFO|__main__.startLogging|output:|mtg_experiment
2022-12-16 02:21:11,147|INFO|__main__.startLogging|device:|titanv
2022-12-16 02:21:11,147|INFO|__main__.startLogging|DONE
2022-12-16 02:21:11,147|INFO|mtg.runMTGExperiment|>>>> RUNNING MECHANISTIC TASK GROUPING EXPERIMENT
2022-12-16 02:21:11,147|INFO|data.generateModellingDatasets|>>>> GENERATING MODELLING DATASETS
2022-12-16 02:21:11,147|INFO|data.generateModellingDatasets|Task list parsed:|['TA100', 'TA100_S9', 'TA102', 'TA102_S9', 'TA104', 'TA104_S9', 'TA1535', 'TA1535_S9', 'TA1537', 'TA1537_S9', 'TA1538', 'TA1538_S9', 'TA97', 'TA97_S9', 'TA98', 'TA98_S9']
2022-12-16 02:21:17,417|INFO|data.generateModellingDatasets|Modelling train dataset generated: (rows, columns)|7360|1041
2022-12-16 02:21:17,581|INFO|data.generateModellingDatasets|Modelling val dataset generated: (rows, columns)|3440|1041
2022-12-16 02:21:17,952|INFO|data.generateModellingDatasets|Modelling trainval dataset generated: (rows, columns)|8154|1041
2022-12-16 02:21:18,051|INFO|data.generateModellingDatasets|Modelling test dataset generated: (rows, columns)|2281|1041
2022-12-16 02:21:18,051|INFO|data.generateModellingDatasets|Modelling datasets generation timing:|6.9029314
2022-12-16 02:21:18,051|INFO|data.generateModellingDatasets|DONE
2022-12-16 02:21:18,084|INFO|mtg.runMTGExperiment|Device confirmed:|cuda:0
2022-12-16 02:21:19,268|INFO|nn.loadModellingDataset|Train descriptors loaded (features, instances):|1024|7360
2022-12-16 02:21:19,268|INFO|nn.loadModellingDataset|Train endpoints loaded (tasks, instances):|16|7360
2022-12-16 02:21:19,293|INFO|nn.loadModellingDataset|Val descriptors loaded (features, instances):|1024|3440
2022-12-16 02:21:19,293|INFO|nn.loadModellingDataset|Val endpoints loaded (tasks, instances):|16|3440
2022-12-16 02:21:33,988|INFO|nn.computeOptunaObjective|Trial 0 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 200}
2022-12-16 02:21:33,988|INFO|nn.computeOptunaObjective|Trial 0 balacc:|[0.6804797520382724, 0.6998864198435525, 0.684715821812596, 0.6783826638477801, 0.7416666666666667, 0.6050420168067226, 0.6322358128289006, 0.6297256470972483, 0.6514283430155092, 0.6927145760592006, 0.6686255696809786, 0.6785057471264369, 0.6936499370390358, 0.7893743257820929, 0.6774544518122707, 0.7119360902255639]
2022-12-16 02:21:33,988|INFO|nn.computeOptunaObjective|Trial 0 rocauc:|[0.7883094131123239, 0.8015168446699764, 0.8531490015360983, 0.8847780126849895, 0.8068181818181819, 0.6890756302521008, 0.8003306784241216, 0.726820854086715, 0.8482385546021425, 0.832351868257856, 0.8905313024706165, 0.8624712643678162, 0.7928584277747796, 0.9211614527148507, 0.827058520569111, 0.8307375581811671]
2022-12-16 02:21:33,988|INFO|nn.computeOptunaObjective|Trial 0 timings:|14.693850200000002
2022-12-16 02:21:33,988|INFO|nn.computeOptunaObjective|Trial 0 objective:|0.6822389901051767
2022-12-16 02:21:41,488|INFO|nn.computeOptunaObjective|Trial 1 params:|{'n_layers': 4, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2022-12-16 02:21:41,489|INFO|nn.computeOptunaObjective|Trial 1 balacc:|[0.6808099184691059, 0.7314378881418653, 0.8221966205837173, 0.7576638477801269, 0.7537878787878788, 0.6728691476590636, 0.5949722656805575, 0.5688740099616233, 0.723724884080371, 0.724138829537756, 0.7323398896617894, 0.7055172413793103, 0.7448282065119626, 0.8238942826321467, 0.7342861434794739, 0.7416353383458647]
2022-12-16 02:21:41,489|INFO|nn.computeOptunaObjective|Trial 1 rocauc:|[0.8111599622666936, 0.8089453532892447, 0.8814132104454685, 0.9262684989429176, 0.8053030303030303, 0.7274909963985594, 0.7724896885222585, 0.7322711684494161, 0.8483184991739061, 0.8428005628224504, 0.8716718637562965, 0.8336206896551724, 0.7772980751933801, 0.9220604099244876, 0.8391167192429022, 0.8101973684210525]
2022-12-16 02:21:41,489|INFO|nn.computeOptunaObjective|Trial 1 timings:|7.499105999999998
2022-12-16 02:21:41,489|INFO|nn.computeOptunaObjective|Trial 1 objective:|0.7195610245432883
2022-12-16 02:21:48,576|INFO|nn.computeOptunaObjective|Trial 2 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 100}
2022-12-16 02:21:48,576|INFO|nn.computeOptunaObjective|Trial 2 balacc:|[0.700252678390944, 0.7197354681517578, 0.7623655913978494, 0.7716701902748414, 0.725, 0.624249699879952, 0.6519342909970132, 0.6394218992406304, 0.676637531311624, 0.7152926155609984, 0.720976253298153, 0.7227586206896552, 0.7138873898183127, 0.7812837108953614, 0.6968110903667462, 0.7234022556390978]
2022-12-16 02:21:48,576|INFO|nn.computeOptunaObjective|Trial 2 rocauc:|[0.8104019270938616, 0.8078498543609284, 0.8635176651305684, 0.9101479915433404, 0.8030303030303031, 0.680672268907563, 0.8050597354572606, 0.7116538744182248, 0.8356073122634973, 0.8531450310073481, 0.860098344926841, 0.8574137931034482, 0.7835941716135996, 0.9295217547644732, 0.8366273954376702, 0.8273742391693519]
2022-12-16 02:21:48,576|INFO|nn.computeOptunaObjective|Trial 2 timings:|7.0964253
2022-12-16 02:21:48,576|INFO|nn.computeOptunaObjective|Trial 2 objective:|0.7091049553695585
2022-12-16 02:21:55,552|INFO|nn.computeOptunaObjective|Trial 3 params:|{'n_layers': 4, 'architecture': 'bottom', 'lr': 0.0001, 'n_epochs': 100}
2022-12-16 02:21:55,552|INFO|nn.computeOptunaObjective|Trial 3 balacc:|[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
2022-12-16 02:21:55,552|INFO|nn.computeOptunaObjective|Trial 3 rocauc:|[0.6146267097904454, 0.6182882371260556, 0.620583717357911, 0.6419133192389006, 0.5106060606060606, 0.6038415366146458, 0.664965865452994, 0.6276537111129257, 0.5920428502904653, 0.5975558913961123, 0.6322859198848645, 0.6131034482758622, 0.5702464472027343, 0.5998741459906508, 0.6318762205197537, 0.6007004117436449]
2022-12-16 02:21:55,552|INFO|nn.computeOptunaObjective|Trial 3 timings:|6.962661300000001
2022-12-16 02:21:55,552|INFO|nn.computeOptunaObjective|Trial 3 objective:|0.5
2022-12-16 02:22:05,899|INFO|nn.computeOptunaObjective|Trial 4 params:|{'n_layers': 2, 'architecture': 'bottom', 'lr': 0.001, 'n_epochs': 150}
2022-12-16 02:22:05,899|INFO|nn.computeOptunaObjective|Trial 4 balacc:|[0.6642274779327539, 0.6923315075017862, 0.6793394777265744, 0.6358350951374208, 0.7022727272727273, 0.6254501800720288, 0.635053690797895, 0.6049236547725974, 0.6458988434685284, 0.6475584970556048, 0.6699448308946989, 0.6670689655172414, 0.6743568987227919, 0.6676105717367853, 0.6672503701796176, 0.6973997493734335]
2022-12-16 02:22:05,899|INFO|nn.computeOptunaObjective|Trial 4 rocauc:|[0.774086988747389, 0.779454815249052, 0.823195084485407, 0.8813424947145877, 0.8143939393939394, 0.6854741896758704, 0.7831389560517708, 0.7108985874091613, 0.8364867025528967, 0.8254729271978737, 0.869692971935716, 0.8372988505747128, 0.7894405468609461, 0.8935634663790003, 0.8200948518208545, 0.8141626387397063]
